productkey,customerkey,salesamount,orderdate,duedate,shipdate
310,21768,3578.27,12/29/2019,01-10-2020,01-05-2020
346,28389,3399.99,12/29/2019,01-10-2020,01-05-2020
346,25863,3399.99,12/29/2019,01-10-2020,01-05-2020
336,14501,699.1,12/29/2019,01-10-2020,01-05-2020
346,11003,3399.99,12/29/2019,01-10-2020,01-05-2020
311,27645,3578.27,12/30/2019,01-11-2020,01-06-2020
310,16624,3578.27,12/30/2019,01-11-2020,01-06-2020
351,11005,3374.99,12/30/2019,01-11-2020,01-06-2020
344,11011,3399.99,12/30/2019,01-11-2020,01-06-2020
312,27621,3578.27,12/31/2019,01-12-2020,01-07-2020
312,27616,3578.27,12/31/2019,01-12-2020,01-07-2020
330,20042,699.1,12/31/2019,01-12-2020,01-07-2020
313,16351,3578.27,12/31/2019,01-12-2020,01-07-2020
314,16517,3578.27,12/31/2019,01-12-2020,01-07-2020
314,27606,3578.27,01-01-2020,1/13/2020,01-08-2020
311,13513,3578.27,01-01-2020,1/13/2020,01-08-2020
310,27601,3578.27,01-02-2020,1/14/2020,01-09-2020
311,13591,3578.27,01-02-2020,1/14/2020,01-09-2020
314,16483,3578.27,01-02-2020,1/14/2020,01-09-2020
311,16529,3578.27,01-02-2020,1/14/2020,01-09-2020
336,25249,699.1,01-02-2020,1/14/2020,01-09-2020
311,27668,3578.27,01-03-2020,1/15/2020,01-10-2020
312,27612,3578.27,01-03-2020,1/15/2020,01-10-2020
311,13264,3578.27,01-03-2020,1/15/2020,01-10-2020
310,13590,3578.27,01-03-2020,1/15/2020,01-10-2020
312,13581,3578.27,01-04-2020,1/16/2020,01-11-2020
332,14520,699.1,01-04-2020,1/16/2020,01-11-2020
311,16520,3578.27,01-04-2020,1/16/2020,01-11-2020
311,13258,3578.27,01-05-2020,1/17/2020,01-12-2020
332,14560,699.1,01-05-2020,1/17/2020,01-12-2020
311,16607,3578.27,01-05-2020,1/17/2020,01-12-2020
313,27666,3578.27,01-06-2020,1/18/2020,1/13/2020
